epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,179.083,0.75122,1.96793,1.26736,0.94957,0.93793,0.97118,0.86812,0.38239,0.285,0.92224,0.000332972,0.000332972,0.0670358
2,322.688,0.53629,0.61801,1.04124,0.98244,0.98388,0.99241,0.91538,0.33257,0.20506,0.8923,0.000659709,0.000659709,0.0340292
3,462.961,0.51972,0.48173,1.03621,0.98945,0.98545,0.99175,0.91395,0.35061,0.2284,0.91032,0.000979846,0.000979846,0.001016
4,602.403,0.51923,0.45195,1.03943,0.98779,0.98844,0.99219,0.91294,0.35434,0.22957,0.91118,0.0009703,0.0009703,0.0009703
5,742.116,0.50321,0.40864,1.02938,0.99333,0.99197,0.9939,0.92801,0.32251,0.20003,0.88451,0.0009604,0.0009604,0.0009604
6,881.592,0.48454,0.371,1.01256,0.98625,0.99635,0.99366,0.92802,0.3264,0.2015,0.89162,0.0009505,0.0009505,0.0009505
7,1021.36,0.47725,0.35742,1.00799,0.99169,0.99494,0.99359,0.93302,0.31156,0.18928,0.87948,0.0009406,0.0009406,0.0009406
8,1161.75,0.46414,0.34517,1.00999,0.99195,0.99614,0.99374,0.92777,0.31169,0.18475,0.88126,0.0009307,0.0009307,0.0009307
9,1301.25,0.45884,0.33236,1.00538,0.99433,0.99594,0.99378,0.93134,0.30502,0.17935,0.87313,0.0009208,0.0009208,0.0009208
10,1440.79,0.4537,0.32391,0.99559,0.99516,0.99579,0.99388,0.93543,0.30168,0.17487,0.87013,0.0009109,0.0009109,0.0009109
11,1580.53,0.44783,0.31623,0.98367,0.99771,0.99602,0.99408,0.9341,0.30337,0.17746,0.87664,0.000901,0.000901,0.000901
12,1720.43,0.44081,0.31065,0.98386,0.99353,0.99556,0.99385,0.93416,0.29974,0.17064,0.87347,0.0008911,0.0008911,0.0008911
13,1860.2,0.43857,0.30437,0.9776,0.99606,0.9956,0.9937,0.93556,0.30059,0.17251,0.87194,0.0008812,0.0008812,0.0008812
14,2000.66,0.43081,0.29149,0.97865,0.99416,0.99251,0.99354,0.93357,0.29004,0.16457,0.86513,0.0008713,0.0008713,0.0008713
15,2140.82,0.43026,0.29074,0.98104,0.99735,0.99747,0.99398,0.93655,0.28841,0.15787,0.86123,0.0008614,0.0008614,0.0008614
16,2281.09,0.42433,0.28818,0.9753,0.99762,0.99688,0.99405,0.93942,0.28705,0.15652,0.86234,0.0008515,0.0008515,0.0008515
17,2421.49,0.41663,0.27994,0.96852,0.99486,0.98891,0.99323,0.93737,0.28152,0.15728,0.85782,0.0008416,0.0008416,0.0008416
18,2561.58,0.41076,0.27411,0.96668,0.99687,0.99745,0.99385,0.93907,0.2843,0.15514,0.85962,0.0008317,0.0008317,0.0008317
19,2701.91,0.409,0.27244,0.96512,0.99742,0.99784,0.99374,0.93897,0.27975,0.15239,0.85852,0.0008218,0.0008218,0.0008218
20,2842.13,0.40798,0.27221,0.96403,0.99681,0.99652,0.99362,0.94,0.27991,0.1529,0.85687,0.0008119,0.0008119,0.0008119
21,2982.32,0.4093,0.27014,0.96899,0.99469,0.99486,0.99336,0.9421,0.27925,0.15618,0.85371,0.000802,0.000802,0.000802
22,3122.78,0.39607,0.25953,0.96141,0.99634,0.99124,0.99333,0.93833,0.27765,0.1504,0.85593,0.0007921,0.0007921,0.0007921
23,3262.98,0.39383,0.25995,0.95879,0.99396,0.98537,0.9931,0.94214,0.27536,0.15541,0.85221,0.0007822,0.0007822,0.0007822
24,3403.61,0.39318,0.25645,0.95847,0.99474,0.9944,0.99365,0.94194,0.26743,0.14615,0.84753,0.0007723,0.0007723,0.0007723
25,3543.51,0.39021,0.25453,0.95198,0.99591,0.99726,0.99374,0.94338,0.2678,0.14308,0.85002,0.0007624,0.0007624,0.0007624
26,3683.44,0.39195,0.25217,0.95801,0.99138,0.99179,0.99283,0.93786,0.26604,0.14593,0.85231,0.0007525,0.0007525,0.0007525
27,3823.95,0.3866,0.25174,0.95643,0.99553,0.99168,0.99048,0.93778,0.26793,0.14558,0.85448,0.0007426,0.0007426,0.0007426
