epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,133.994,0.80669,2.24216,1.31809,0.87164,0.92473,0.91887,0.82553,0.39204,0.38759,0.94979,0.000332972,0.000332972,0.0670358
2,255.901,0.55843,0.69885,1.06525,0.96999,0.97655,0.9874,0.90987,0.33167,0.20581,0.89555,0.000659709,0.000659709,0.0340292
3,375.374,0.51303,0.48573,1.03526,0.97834,0.96845,0.98768,0.90378,0.33403,0.21001,0.89419,0.000979846,0.000979846,0.001016
4,493.678,0.50754,0.43038,1.02709,0.98958,0.98777,0.99156,0.92483,0.3187,0.19287,0.88651,0.0009703,0.0009703,0.0009703
5,612.143,0.4866,0.38319,1.01474,0.98222,0.99016,0.99156,0.92588,0.30884,0.18309,0.87619,0.0009604,0.0009604,0.0009604
6,730.989,0.47232,0.3576,1.00928,0.98857,0.99309,0.99359,0.92975,0.31537,0.17966,0.8748,0.0009505,0.0009505,0.0009505
7,849.798,0.45981,0.33414,0.99671,0.99046,0.99566,0.9933,0.93116,0.30049,0.17635,0.87106,0.0009406,0.0009406,0.0009406
8,968.379,0.45034,0.33227,0.99884,0.99439,0.99695,0.9937,0.93185,0.3056,0.17089,0.8741,0.0009307,0.0009307,0.0009307
9,1087.11,0.44114,0.31648,0.99424,0.99231,0.99065,0.99406,0.92957,0.30198,0.17145,0.87283,0.0009208,0.0009208,0.0009208
10,1206.43,0.43719,0.31231,0.98416,0.99454,0.99666,0.9934,0.93331,0.29721,0.17065,0.86965,0.0009109,0.0009109,0.0009109
11,1325.28,0.42864,0.30275,0.98243,0.99585,0.99374,0.99323,0.92991,0.29465,0.16378,0.86704,0.000901,0.000901,0.000901
12,1444.07,0.42387,0.29532,0.9795,0.99442,0.99104,0.99303,0.93241,0.28935,0.16419,0.86762,0.0008911,0.0008911,0.0008911
13,1562.6,0.41836,0.29154,0.97812,0.99517,0.99233,0.99315,0.9373,0.28585,0.16014,0.86384,0.0008812,0.0008812,0.0008812
14,1681.15,0.41084,0.28261,0.97194,0.99641,0.99486,0.99309,0.93537,0.28548,0.16025,0.86564,0.0008713,0.0008713,0.0008713
15,1800.02,0.40834,0.2802,0.97525,0.99649,0.99469,0.99283,0.93694,0.28315,0.15593,0.8614,0.0008614,0.0008614,0.0008614
16,1918.74,0.40451,0.27185,0.9682,0.99654,0.99401,0.99346,0.94124,0.28321,0.15431,0.86425,0.0008515,0.0008515,0.0008515
17,2037.35,0.40165,0.26653,0.96173,0.99616,0.99401,0.99364,0.94098,0.27889,0.15133,0.85936,0.0008416,0.0008416,0.0008416
18,2156.14,0.39538,0.2615,0.95945,0.99215,0.99401,0.99363,0.93909,0.27152,0.14849,0.84817,0.0008317,0.0008317,0.0008317
19,2274.87,0.38897,0.25676,0.95626,0.9968,0.99326,0.99349,0.93919,0.26934,0.14415,0.84806,0.0008218,0.0008218,0.0008218
20,2394.3,0.38611,0.25968,0.95682,0.99251,0.99673,0.99396,0.93972,0.27413,0.1497,0.855,0.0008119,0.0008119,0.0008119
21,2513.07,0.38699,0.25929,0.9612,0.99684,0.99682,0.99426,0.94278,0.2678,0.14356,0.84649,0.000802,0.000802,0.000802
22,2632.33,0.37698,0.24835,0.94935,0.99707,0.99784,0.99425,0.94012,0.26821,0.14162,0.84827,0.0007921,0.0007921,0.0007921
23,2750.73,0.37537,0.24262,0.94929,0.98875,0.99732,0.99399,0.94093,0.26697,0.1415,0.84902,0.0007822,0.0007822,0.0007822
24,2869.29,0.3751,0.24543,0.95138,0.99669,0.99696,0.99428,0.94218,0.26638,0.13858,0.84827,0.0007723,0.0007723,0.0007723
25,2987.86,0.37221,0.24467,0.95071,0.99168,0.9976,0.99414,0.94408,0.26395,0.14053,0.84797,0.0007624,0.0007624,0.0007624
26,3106.68,0.36819,0.24337,0.9506,0.99672,0.9913,0.99415,0.94139,0.26414,0.13785,0.84852,0.0007525,0.0007525,0.0007525
27,3225.09,0.36628,0.23678,0.94755,0.99586,0.99074,0.99325,0.9423,0.26386,0.13753,0.84558,0.0007426,0.0007426,0.0007426
28,3344.07,0.36228,0.23071,0.94401,0.98946,0.99423,0.99288,0.94571,0.25723,0.13671,0.84379,0.0007327,0.0007327,0.0007327
29,3462.9,0.35892,0.23155,0.94082,0.99619,0.99189,0.99187,0.94172,0.25856,0.13683,0.84314,0.0007228,0.0007228,0.0007228
30,3581.45,0.35287,0.22906,0.93677,0.99589,0.99149,0.99378,0.9443,0.25742,0.13414,0.84519,0.0007129,0.0007129,0.0007129
31,3699.78,0.3555,0.22862,0.94171,0.9952,0.98817,0.99078,0.93807,0.25565,0.13292,0.84471,0.000703,0.000703,0.000703
32,3818.6,0.3535,0.22814,0.94156,0.99406,0.99123,0.99393,0.94267,0.26103,0.13403,0.85353,0.0006931,0.0006931,0.0006931
33,3937.03,0.34739,0.22416,0.93773,0.99399,0.99166,0.99355,0.94096,0.263,0.13489,0.85082,0.0006832,0.0006832,0.0006832
34,4055.57,0.3498,0.22357,0.93615,0.99616,0.99428,0.99336,0.94085,0.2642,0.13294,0.85082,0.0006733,0.0006733,0.0006733
35,4174.01,0.34546,0.21839,0.93659,0.9961,0.99411,0.99285,0.94216,0.25704,0.13074,0.84503,0.0006634,0.0006634,0.0006634
36,4292.79,0.34054,0.21642,0.92695,0.99636,0.99435,0.99362,0.93957,0.25724,0.12887,0.84509,0.0006535,0.0006535,0.0006535
37,4411.79,0.33968,0.21551,0.93387,0.99544,0.99152,0.99328,0.94197,0.25966,0.12966,0.85284,0.0006436,0.0006436,0.0006436
38,4530.25,0.33933,0.21471,0.9293,0.99391,0.99505,0.99369,0.94334,0.2573,0.12825,0.84844,0.0006337,0.0006337,0.0006337
39,4648.61,0.3383,0.21122,0.9333,0.99519,0.99123,0.99161,0.9399,0.25599,0.12901,0.85005,0.0006238,0.0006238,0.0006238
40,4767.53,0.3341,0.21151,0.92932,0.99491,0.99123,0.9933,0.94113,0.25338,0.12914,0.84739,0.0006139,0.0006139,0.0006139
41,4886.53,0.33059,0.20782,0.92168,0.99259,0.99503,0.99385,0.94313,0.254,0.12687,0.84389,0.000604,0.000604,0.000604
42,5005.24,0.33129,0.2093,0.92652,0.99418,0.99105,0.99397,0.94293,0.25199,0.12641,0.84285,0.0005941,0.0005941,0.0005941
43,5124.05,0.32553,0.20508,0.92231,0.99645,0.99422,0.99407,0.94154,0.25415,0.12559,0.84567,0.0005842,0.0005842,0.0005842
44,5243.12,0.32493,0.20266,0.9246,0.99257,0.99432,0.99401,0.94169,0.25196,0.12487,0.8441,0.0005743,0.0005743,0.0005743
45,5361.85,0.32095,0.20338,0.91632,0.99689,0.99449,0.99401,0.94266,0.25304,0.12263,0.84591,0.0005644,0.0005644,0.0005644
46,5480.93,0.32391,0.20045,0.91831,0.99685,0.9943,0.99357,0.94105,0.25251,0.12233,0.84672,0.0005545,0.0005545,0.0005545
47,5599.78,0.32158,0.19924,0.91928,0.99644,0.99182,0.99151,0.93859,0.25114,0.12353,0.84452,0.0005446,0.0005446,0.0005446
48,5719.31,0.31859,0.19833,0.91578,0.99629,0.99135,0.99317,0.94168,0.25161,0.12285,0.84324,0.0005347,0.0005347,0.0005347
49,5838.04,0.31698,0.19633,0.91469,0.99669,0.99486,0.99342,0.94095,0.25255,0.12182,0.84474,0.0005248,0.0005248,0.0005248
50,5956.67,0.31723,0.19616,0.91727,0.99696,0.99486,0.99348,0.94023,0.25228,0.12257,0.84528,0.0005149,0.0005149,0.0005149
51,6075.37,0.31017,0.19353,0.91033,0.99698,0.99486,0.9934,0.94038,0.25229,0.12128,0.84497,0.000505,0.000505,0.000505
52,6194.37,0.30812,0.19093,0.91111,0.99663,0.99415,0.99346,0.94036,0.25275,0.12167,0.84555,0.0004951,0.0004951,0.0004951
53,6313.12,0.30812,0.19027,0.91018,0.99652,0.99359,0.9934,0.94004,0.25311,0.12312,0.84555,0.0004852,0.0004852,0.0004852
54,6431.9,0.30312,0.19041,0.91035,0.99671,0.99336,0.99346,0.94079,0.25291,0.12282,0.84482,0.0004753,0.0004753,0.0004753
55,6550.67,0.30511,0.18768,0.91009,0.9966,0.99334,0.9934,0.94063,0.2535,0.1225,0.84532,0.0004654,0.0004654,0.0004654
56,6669.36,0.30555,0.18936,0.9129,0.99674,0.99365,0.99352,0.93972,0.25236,0.12132,0.84455,0.0004555,0.0004555,0.0004555
57,6788.6,0.29898,0.1843,0.91203,0.99651,0.99387,0.99351,0.94059,0.25126,0.12179,0.84381,0.0004456,0.0004456,0.0004456
58,6907.19,0.29458,0.18434,0.90933,0.99664,0.99391,0.99345,0.93998,0.25076,0.12066,0.84383,0.0004357,0.0004357,0.0004357
59,7026.12,0.29707,0.18315,0.90661,0.99667,0.99391,0.99186,0.9388,0.25085,0.12032,0.84467,0.0004258,0.0004258,0.0004258
60,7144.75,0.29508,0.18074,0.90685,0.99672,0.99391,0.99334,0.94045,0.25112,0.1213,0.84591,0.0004159,0.0004159,0.0004159
61,7263.54,0.29252,0.17869,0.90473,0.99673,0.99391,0.99325,0.94096,0.25118,0.11954,0.84611,0.000406,0.000406,0.000406
62,7382.3,0.29111,0.17792,0.9023,0.99672,0.99391,0.99323,0.94159,0.25144,0.11944,0.84634,0.0003961,0.0003961,0.0003961
63,7500.77,0.28954,0.17645,0.90299,0.99684,0.99389,0.99323,0.9419,0.25161,0.119,0.84675,0.0003862,0.0003862,0.0003862
64,7619.76,0.28916,0.17566,0.90227,0.99681,0.9938,0.99319,0.94172,0.25199,0.11938,0.84761,0.0003763,0.0003763,0.0003763
65,7738.49,0.28804,0.17585,0.90063,0.99675,0.9938,0.99315,0.94121,0.25207,0.11902,0.84795,0.0003664,0.0003664,0.0003664
66,7857.29,0.28537,0.17553,0.9015,0.99672,0.99376,0.99314,0.94291,0.25252,0.11959,0.84863,0.0003565,0.0003565,0.0003565
67,7976.39,0.283,0.17291,0.90157,0.99665,0.99372,0.99315,0.94303,0.25257,0.11963,0.84897,0.0003466,0.0003466,0.0003466
68,8095.09,0.28255,0.17103,0.89922,0.99663,0.99369,0.99317,0.94237,0.25269,0.12001,0.8492,0.0003367,0.0003367,0.0003367
69,8213.65,0.27764,0.17074,0.89626,0.99657,0.99374,0.99319,0.94255,0.25254,0.11944,0.84898,0.0003268,0.0003268,0.0003268
70,8332.36,0.27857,0.17014,0.89595,0.99645,0.99381,0.99319,0.94282,0.25283,0.11954,0.84929,0.0003169,0.0003169,0.0003169
71,8451.35,0.27545,0.16867,0.89751,0.99644,0.99389,0.99317,0.94297,0.25269,0.11932,0.84907,0.000307,0.000307,0.000307
72,8570.57,0.27279,0.16698,0.89725,0.9964,0.9939,0.99322,0.94266,0.25276,0.11905,0.84908,0.0002971,0.0002971,0.0002971
73,8689.18,0.27102,0.16418,0.89553,0.99637,0.99391,0.99318,0.94251,0.25282,0.1198,0.84897,0.0002872,0.0002872,0.0002872
74,8808.01,0.27318,0.16635,0.89676,0.99636,0.9939,0.9932,0.94258,0.25284,0.11897,0.84911,0.0002773,0.0002773,0.0002773
75,8926.7,0.26577,0.16441,0.89445,0.99642,0.9939,0.99325,0.9434,0.25248,0.11955,0.84877,0.0002674,0.0002674,0.0002674
76,9045.37,0.27068,0.16576,0.89755,0.9964,0.99391,0.99323,0.94288,0.25232,0.11891,0.84881,0.0002575,0.0002575,0.0002575
77,9164.69,0.26583,0.16251,0.89594,0.99635,0.9939,0.99321,0.94268,0.25217,0.11955,0.84875,0.0002476,0.0002476,0.0002476
78,9283.35,0.26509,0.16152,0.89485,0.99635,0.99391,0.99322,0.94288,0.25208,0.11918,0.84859,0.0002377,0.0002377,0.0002377
