epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,38.5291,0.85414,1.41502,1.2223,0.66681,0.79077,0.8165,0.62142,0.77202,1.09231,1.23341,0.000332972,0.000332972,0.0670358
2,72.7074,0.77195,0.86993,1.1549,0.82025,0.79293,0.87017,0.71666,0.62087,0.78074,1.12877,0.000659709,0.000659709,0.0340292
3,105.983,0.74644,0.76298,1.14335,0.91778,0.94529,0.96532,0.82537,0.52068,0.41212,1.04055,0.000979846,0.000979846,0.001016
4,139.081,0.70745,0.67411,1.11572,0.95887,0.96793,0.98785,0.8655,0.47588,0.35852,0.99624,0.0009703,0.0009703,0.0009703
5,171.831,0.66785,0.60112,1.08872,0.98492,0.97768,0.98683,0.87684,0.45244,0.31304,0.98464,0.0009604,0.0009604,0.0009604
6,205.095,0.63964,0.55453,1.07242,0.9169,0.94923,0.97873,0.87985,0.42713,0.34263,0.95857,0.0009505,0.0009505,0.0009505
7,237.629,0.61523,0.51842,1.05903,0.99023,0.98118,0.99225,0.90227,0.40522,0.2753,0.94504,0.0009406,0.0009406,0.0009406
8,270.182,0.60419,0.50157,1.05096,0.97939,0.98531,0.99108,0.90325,0.39612,0.26322,0.9369,0.0009307,0.0009307,0.0009307
9,303.42,0.59156,0.48085,1.04636,0.98675,0.98983,0.99374,0.90656,0.40014,0.25481,0.93382,0.0009208,0.0009208,0.0009208
10,336.667,0.58055,0.46308,1.04051,0.99202,0.99536,0.99411,0.90978,0.38214,0.24703,0.92613,0.0009109,0.0009109,0.0009109
11,369.998,0.56628,0.44574,1.02782,0.99452,0.98838,0.99348,0.90678,0.37788,0.23959,0.92367,0.000901,0.000901,0.000901
12,403.334,0.55996,0.43904,1.02582,0.99444,0.99123,0.9934,0.90957,0.37069,0.22792,0.91774,0.0008911,0.0008911,0.0008911
13,436.849,0.55488,0.42769,1.022,0.99155,0.98727,0.98901,0.91542,0.35809,0.22698,0.90467,0.0008812,0.0008812,0.0008812
14,469.759,0.5457,0.41469,1.01857,0.99558,0.98827,0.99278,0.91843,0.35557,0.22145,0.9021,0.0008713,0.0008713,0.0008713
15,502.562,0.53838,0.40599,1.01748,0.99444,0.99367,0.99349,0.91998,0.35286,0.21274,0.9048,0.0008614,0.0008614,0.0008614
16,535.79,0.53294,0.40069,1.00804,0.97889,0.99136,0.98748,0.90871,0.35958,0.21667,0.90853,0.0008515,0.0008515,0.0008515
