epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,165.336,0.8758,2.4008,1.34576,0.82009,0.88055,0.879,0.77434,0.46772,0.53986,1.00106,0.000332972,0.000332972,0.0670358
2,321.633,0.61691,0.7714,1.09072,0.95936,0.94776,0.97127,0.88056,0.37292,0.26992,0.92276,0.000659709,0.000659709,0.0340292
3,476.241,0.55475,0.5443,1.0414,0.96118,0.96172,0.98184,0.8902,0.36957,0.2599,0.92107,0.000979846,0.000979846,0.001016
4,630.691,0.53729,0.47072,1.03149,0.98733,0.99274,0.99371,0.91611,0.35235,0.22696,0.90322,0.0009703,0.0009703,0.0009703
5,784.409,0.51511,0.41742,1.01544,0.99577,0.99253,0.99303,0.91922,0.34652,0.20788,0.90513,0.0009604,0.0009604,0.0009604
6,938.349,0.49853,0.388,1.00839,0.98849,0.99424,0.99025,0.91954,0.33447,0.2111,0.89145,0.0009505,0.0009505,0.0009505
7,1092.4,0.48733,0.36708,1.0007,0.99551,0.99179,0.99376,0.92996,0.33048,0.20499,0.88847,0.0009406,0.0009406,0.0009406
8,1246.44,0.47923,0.35814,0.99399,0.99204,0.99601,0.99363,0.92801,0.33183,0.2001,0.88493,0.0009307,0.0009307,0.0009307
9,1400.45,0.47003,0.34438,0.98954,0.99484,0.98938,0.99345,0.92936,0.31763,0.19452,0.88067,0.0009208,0.0009208,0.0009208
10,1554.46,0.46379,0.33812,0.98569,0.9973,0.99759,0.994,0.93026,0.31658,0.18859,0.87798,0.0009109,0.0009109,0.0009109
11,1708.45,0.45481,0.32987,0.97915,0.99551,0.99178,0.99284,0.92948,0.31253,0.18743,0.87518,0.000901,0.000901,0.000901
12,1862.86,0.44692,0.32249,0.97316,0.99636,0.9914,0.99364,0.93301,0.30475,0.18499,0.87091,0.0008911,0.0008911,0.0008911
13,2017.32,0.44485,0.31973,0.97192,0.99532,0.99009,0.99073,0.92627,0.30894,0.18629,0.87491,0.0008812,0.0008812,0.0008812
14,2171.48,0.43871,0.30918,0.97204,0.9924,0.99381,0.99182,0.93384,0.3018,0.18178,0.86803,0.0008713,0.0008713,0.0008713
15,2326.04,0.43528,0.30479,0.97058,0.99591,0.99156,0.99241,0.93567,0.30042,0.1767,0.86707,0.0008614,0.0008614,0.0008614
16,2479.98,0.42945,0.29719,0.96337,0.99621,0.99293,0.99379,0.93614,0.29923,0.17353,0.86775,0.0008515,0.0008515,0.0008515
17,2634.14,0.42629,0.29343,0.96049,0.99768,0.99528,0.9938,0.93675,0.30037,0.17299,0.87289,0.0008416,0.0008416,0.0008416
18,2788.41,0.42163,0.28795,0.96031,0.99274,0.99417,0.99276,0.93577,0.29764,0.16919,0.86323,0.0008317,0.0008317,0.0008317
19,2942.72,0.41781,0.28671,0.95755,0.99484,0.99145,0.99208,0.93406,0.29428,0.16951,0.8636,0.0008218,0.0008218,0.0008218
20,3096.86,0.41408,0.28156,0.9538,0.995,0.99216,0.99363,0.93939,0.29123,0.16891,0.8613,0.0008119,0.0008119,0.0008119
21,3251.02,0.41799,0.28432,0.95841,0.996,0.9942,0.99279,0.93708,0.29267,0.16558,0.8637,0.000802,0.000802,0.000802
22,3405.43,0.40493,0.27129,0.95251,0.99235,0.99113,0.99268,0.93987,0.28022,0.16155,0.85305,0.0007921,0.0007921,0.0007921
23,3559.65,0.40014,0.26914,0.9494,0.99085,0.99095,0.99343,0.93982,0.28422,0.16721,0.85566,0.0007822,0.0007822,0.0007822
24,3713.95,0.4041,0.26838,0.95098,0.99563,0.99128,0.993,0.94029,0.28486,0.1624,0.85719,0.0007723,0.0007723,0.0007723
25,3868.27,0.40032,0.26906,0.94579,0.98973,0.99486,0.99335,0.94054,0.27972,0.16099,0.8538,0.0007624,0.0007624,0.0007624
26,4022.52,0.40021,0.26744,0.94891,0.98883,0.99784,0.99371,0.93723,0.28623,0.16328,0.86026,0.0007525,0.0007525,0.0007525
27,4176.89,0.39727,0.26919,0.94885,0.99531,0.99471,0.99337,0.93772,0.28487,0.15874,0.85717,0.0007426,0.0007426,0.0007426
28,4331.23,0.39312,0.2598,0.9427,0.99468,0.99351,0.99378,0.93873,0.28045,0.15996,0.85606,0.0007327,0.0007327,0.0007327
29,4485.33,0.38889,0.25422,0.94283,0.99754,0.99673,0.99387,0.94155,0.28269,0.15692,0.85565,0.0007228,0.0007228,0.0007228
30,4639.62,0.38171,0.25333,0.93826,0.99595,0.99055,0.99296,0.935,0.27885,0.15451,0.855,0.0007129,0.0007129,0.0007129
31,4793.92,0.38265,0.25251,0.93946,0.99344,0.99486,0.99259,0.93619,0.27901,0.15645,0.85529,0.000703,0.000703,0.000703
32,4948.15,0.38135,0.25216,0.93951,0.99651,0.99126,0.99362,0.94058,0.27921,0.15151,0.85598,0.0006931,0.0006931,0.0006931
33,5102.42,0.37392,0.24493,0.93513,0.99693,0.99141,0.99373,0.94255,0.27811,0.15305,0.85635,0.0006832,0.0006832,0.0006832
34,5256.72,0.37804,0.24889,0.94205,0.99791,0.99718,0.99371,0.94098,0.27752,0.1504,0.85246,0.0006733,0.0006733,0.0006733
35,5410.99,0.3738,0.24416,0.93591,0.99693,0.99388,0.99375,0.94349,0.27599,0.15028,0.85068,0.0006634,0.0006634,0.0006634
36,5565.22,0.37322,0.24065,0.9311,0.99728,0.99441,0.99298,0.93798,0.27417,0.1498,0.85206,0.0006535,0.0006535,0.0006535
37,5719.46,0.3689,0.24188,0.93148,0.99652,0.99472,0.9929,0.93966,0.27318,0.1481,0.85316,0.0006436,0.0006436,0.0006436
38,5873.89,0.36782,0.24059,0.92809,0.99634,0.99384,0.99396,0.94139,0.26988,0.14751,0.8514,0.0006337,0.0006337,0.0006337
39,6028.36,0.36966,0.23619,0.93377,0.99516,0.99348,0.99412,0.94332,0.26877,0.14663,0.85146,0.0006238,0.0006238,0.0006238
