epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,63.9714,0.83191,2.21016,1.30122,0.82639,0.90733,0.8737,0.77736,0.42375,0.45826,0.97343,0.000332972,0.000332972,0.0670358
2,110.901,0.57653,0.72266,1.06046,0.97767,0.97105,0.98889,0.89854,0.36227,0.28237,0.91308,0.000659709,0.000659709,0.0340292
3,156.201,0.53657,0.51971,1.03118,0.93926,0.96921,0.97845,0.89589,0.36608,0.28358,0.91887,0.000979846,0.000979846,0.001016
4,201.214,0.52863,0.46885,1.02639,0.97869,0.98189,0.99102,0.91988,0.34956,0.26175,0.90133,0.0009703,0.0009703,0.0009703
5,246.198,0.50701,0.42258,1.00804,0.99194,0.97091,0.99046,0.92014,0.33197,0.2316,0.89134,0.0009604,0.0009604,0.0009604
6,290.524,0.4931,0.3877,1.00212,0.97314,0.98723,0.98978,0.91478,0.33685,0.2311,0.88922,0.0009505,0.0009505,0.0009505
7,335.808,0.48669,0.36838,0.99535,0.99323,0.99098,0.99372,0.93031,0.31345,0.20025,0.87811,0.0009406,0.0009406,0.0009406
8,380.346,0.4734,0.35559,0.98844,0.98698,0.99675,0.99398,0.92837,0.31818,0.19188,0.87548,0.0009307,0.0009307,0.0009307
9,425.135,0.46556,0.33768,0.98745,0.99323,0.99222,0.99409,0.93029,0.3179,0.19702,0.8825,0.0009208,0.0009208,0.0009208
10,470.224,0.46338,0.33222,0.98342,0.99231,0.99182,0.99291,0.92877,0.31403,0.19194,0.87458,0.0009109,0.0009109,0.0009109
11,515.102,0.45316,0.3194,0.97533,0.99734,0.99482,0.99368,0.931,0.31613,0.1859,0.87622,0.000901,0.000901,0.000901
12,560.343,0.44753,0.31838,0.97291,0.98857,0.9887,0.99212,0.93402,0.30758,0.18892,0.87415,0.0008911,0.0008911,0.0008911
13,605.133,0.44112,0.30968,0.96684,0.99558,0.99172,0.99374,0.93012,0.29825,0.17855,0.86603,0.0008812,0.0008812,0.0008812
14,650.103,0.43758,0.30198,0.96864,0.9979,0.99702,0.99415,0.93583,0.29827,0.1736,0.86515,0.0008713,0.0008713,0.0008713
15,694.946,0.43188,0.29482,0.96685,0.99554,0.98737,0.99347,0.93125,0.30062,0.17596,0.86506,0.0008614,0.0008614,0.0008614
16,739.936,0.42635,0.28791,0.95929,0.99454,0.99155,0.9936,0.93259,0.29773,0.17148,0.86297,0.0008515,0.0008515,0.0008515
17,785.289,0.42347,0.28746,0.95818,0.99757,0.99641,0.99411,0.93307,0.29029,0.16475,0.86123,0.0008416,0.0008416,0.0008416
18,830.244,0.42073,0.28459,0.9554,0.99729,0.99784,0.99366,0.93908,0.2847,0.16079,0.85734,0.0008317,0.0008317,0.0008317
19,875.291,0.41377,0.27735,0.95349,0.99267,0.98891,0.99273,0.93669,0.28265,0.16549,0.85875,0.0008218,0.0008218,0.0008218
20,920.609,0.41164,0.27631,0.95305,0.99738,0.99751,0.99368,0.93662,0.28516,0.1613,0.85876,0.0008119,0.0008119,0.0008119
21,965.564,0.41456,0.27648,0.95598,0.99561,0.99189,0.99351,0.93734,0.28303,0.1612,0.85729,0.000802,0.000802,0.000802
22,1010.49,0.40451,0.26927,0.95104,0.99608,0.98794,0.99336,0.93913,0.28302,0.1612,0.85346,0.0007921,0.0007921,0.0007921
23,1055.54,0.39958,0.2653,0.94574,0.99061,0.99144,0.99249,0.93923,0.27798,0.1581,0.85239,0.0007822,0.0007822,0.0007822
24,1099.68,0.40456,0.26573,0.94944,0.99608,0.99087,0.99396,0.94131,0.27928,0.15955,0.85523,0.0007723,0.0007723,0.0007723
25,1144.41,0.40162,0.26408,0.94416,0.99697,0.9941,0.99399,0.94189,0.27523,0.15393,0.85198,0.0007624,0.0007624,0.0007624
26,1189.47,0.39717,0.2602,0.94532,0.99729,0.99486,0.99375,0.93752,0.27575,0.14923,0.8523,0.0007525,0.0007525,0.0007525
27,1234.34,0.39464,0.25894,0.94589,0.99243,0.99697,0.9937,0.94243,0.27147,0.14914,0.84879,0.0007426,0.0007426,0.0007426
28,1278.88,0.39106,0.25304,0.94204,0.99712,0.99235,0.99412,0.94324,0.26822,0.14862,0.84763,0.0007327,0.0007327,0.0007327
29,1322.97,0.38478,0.25147,0.93955,0.99739,0.99784,0.99382,0.94352,0.26974,0.14756,0.84769,0.0007228,0.0007228,0.0007228
30,1367.75,0.3804,0.24654,0.93612,0.99335,0.99764,0.99376,0.94361,0.26726,0.14712,0.84545,0.0007129,0.0007129,0.0007129
31,1412.64,0.38252,0.2469,0.93745,0.99396,0.9978,0.99386,0.94409,0.26682,0.14351,0.84697,0.000703,0.000703,0.000703
32,1457.43,0.38105,0.24597,0.93614,0.9968,0.99751,0.99401,0.94505,0.26725,0.14374,0.8476,0.0006931,0.0006931,0.0006931
33,1502.48,0.37701,0.24134,0.93391,0.99674,0.9973,0.99378,0.94722,0.26465,0.14185,0.84442,0.0006832,0.0006832,0.0006832
34,1547.71,0.37446,0.24093,0.93402,0.99594,0.99666,0.99383,0.94583,0.265,0.14253,0.8462,0.0006733,0.0006733,0.0006733
35,1593.05,0.37513,0.24062,0.93596,0.99499,0.9952,0.9939,0.94552,0.26414,0.1449,0.84696,0.0006634,0.0006634,0.0006634
36,1637.97,0.36986,0.23662,0.92767,0.99391,0.99784,0.99415,0.94369,0.26309,0.14058,0.84611,0.0006535,0.0006535,0.0006535
37,1682.98,0.36565,0.23297,0.92949,0.99129,0.99751,0.99405,0.94517,0.26084,0.13933,0.8458,0.0006436,0.0006436,0.0006436
38,1728.14,0.36637,0.23388,0.92615,0.99444,0.99751,0.99384,0.94557,0.2619,0.13861,0.84762,0.0006337,0.0006337,0.0006337
39,1773.33,0.36983,0.23531,0.93396,0.99506,0.99582,0.99385,0.94193,0.26223,0.13961,0.84663,0.0006238,0.0006238,0.0006238
40,1818.54,0.36624,0.23165,0.92877,0.99134,0.99715,0.99375,0.94269,0.2583,0.13689,0.84416,0.0006139,0.0006139,0.0006139
41,1863.92,0.35898,0.22939,0.92466,0.99704,0.99486,0.99364,0.9438,0.2592,0.13684,0.84516,0.000604,0.000604,0.000604
42,1909.11,0.35795,0.22974,0.92592,0.99429,0.99746,0.99377,0.94543,0.25869,0.13594,0.8439,0.0005941,0.0005941,0.0005941
43,1954.04,0.35266,0.22358,0.92342,0.99564,0.99554,0.9938,0.94597,0.25551,0.13346,0.83975,0.0005842,0.0005842,0.0005842
44,1999.03,0.35248,0.22133,0.92461,0.99454,0.99751,0.99374,0.94802,0.2571,0.13152,0.84183,0.0005743,0.0005743,0.0005743
45,2043.68,0.34836,0.22173,0.91904,0.9957,0.99751,0.99386,0.9448,0.25602,0.13138,0.84061,0.0005644,0.0005644,0.0005644
46,2088.4,0.35076,0.22179,0.92172,0.99613,0.99654,0.99387,0.94555,0.25694,0.13162,0.84007,0.0005545,0.0005545,0.0005545
