epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,138.159,1.18569,1.63508,1.40962,0.62876,0.48037,0.56008,0.37547,1.23625,2.09142,1.75039,0.00332972,0.00332972,0.0700325
2,269.664,1.11554,1.27825,1.34495,0.48233,0.55062,0.57196,0.41038,1.0511,1.98776,1.56775,0.00659709,0.00659709,0.0399666
3,400.894,1.01132,1.10702,1.2765,0.83193,0.78763,0.87713,0.66686,0.84015,0.82263,1.33159,0.00979846,0.00979846,0.00983461
4,532.056,0.94875,0.99514,1.23899,0.77638,0.87981,0.88231,0.70743,0.68697,0.63161,1.20778,0.009703,0.009703,0.009703
5,662.829,0.88725,0.88516,1.20505,0.82797,0.89345,0.92091,0.75205,0.64562,0.58296,1.16417,0.009604,0.009604,0.009604
6,793.717,0.86041,0.83976,1.18559,0.86802,0.92112,0.96306,0.8132,0.60945,0.5174,1.14295,0.009505,0.009505,0.009505
7,924.656,0.82696,0.77433,1.16504,0.93657,0.95219,0.97548,0.83433,0.58254,0.41706,1.11079,0.009406,0.009406,0.009406
8,1055.62,0.80703,0.73826,1.15666,0.94334,0.95505,0.97799,0.84742,0.53483,0.38609,1.06489,0.009307,0.009307,0.009307
9,1186.66,0.77619,0.6922,1.13895,0.93357,0.96941,0.98685,0.86113,0.53393,0.37135,1.06659,0.009208,0.009208,0.009208
10,1317.4,0.75369,0.654,1.12547,0.97183,0.97647,0.99042,0.87451,0.51042,0.33732,1.03993,0.009109,0.009109,0.009109
11,1448.21,0.73431,0.62564,1.11674,0.96169,0.9636,0.99051,0.87073,0.51918,0.35686,1.05283,0.00901,0.00901,0.00901
12,1579.06,0.71998,0.60722,1.10416,0.97757,0.97126,0.98966,0.88267,0.47173,0.31807,1.01549,0.008911,0.008911,0.008911
13,1709.93,0.70903,0.59393,1.10116,0.97637,0.9852,0.99282,0.88742,0.46938,0.3074,1.00498,0.008812,0.008812,0.008812
14,1840.89,0.69446,0.57443,1.09084,0.98878,0.98639,0.99315,0.89584,0.45431,0.29203,0.99559,0.008713,0.008713,0.008713
15,1971.7,0.68558,0.55156,1.09052,0.9794,0.98696,0.9931,0.8959,0.42054,0.28298,0.96482,0.008614,0.008614,0.008614
16,2102.65,0.67297,0.53975,1.07941,0.99204,0.9919,0.99347,0.89501,0.43015,0.27313,0.97561,0.008515,0.008515,0.008515
17,2233.74,0.667,0.52955,1.07619,0.98727,0.98791,0.99115,0.89827,0.42444,0.29096,0.9779,0.008416,0.008416,0.008416
18,2364.85,0.65069,0.51063,1.07193,0.93823,0.96559,0.98311,0.8853,0.44854,0.34545,0.99485,0.008317,0.008317,0.008317
19,2495.64,0.64571,0.50308,1.06833,0.99249,0.99497,0.99389,0.90675,0.40267,0.25273,0.95012,0.008218,0.008218,0.008218
20,2626.47,0.63899,0.48684,1.06126,0.99035,0.98617,0.99123,0.90631,0.39518,0.25377,0.94438,0.008119,0.008119,0.008119
21,2757.5,0.63623,0.48836,1.06358,0.98583,0.9942,0.99313,0.91083,0.38807,0.24763,0.94302,0.00802,0.00802,0.00802
22,2888.25,0.62637,0.47851,1.05633,0.98954,0.99254,0.99186,0.91468,0.37183,0.23189,0.9289,0.007921,0.007921,0.007921
23,3019.16,0.61713,0.46513,1.05222,0.99661,0.99695,0.99404,0.91621,0.37214,0.22925,0.92801,0.007822,0.007822,0.007822
24,3149.9,0.61669,0.46168,1.05199,0.99643,0.99553,0.99403,0.91493,0.37267,0.22706,0.92999,0.007723,0.007723,0.007723
25,3280.88,0.61232,0.45556,1.04923,0.98889,0.99269,0.99338,0.91844,0.35689,0.21858,0.91433,0.007624,0.007624,0.007624
26,3411.9,0.60306,0.44343,1.0465,0.99644,0.99474,0.99407,0.91946,0.35631,0.21845,0.91457,0.007525,0.007525,0.007525
27,3542.82,0.60087,0.44175,1.04454,0.99113,0.99741,0.99414,0.91987,0.35678,0.21475,0.91302,0.007426,0.007426,0.007426
28,3673.57,0.59497,0.43553,1.03888,0.99419,0.99323,0.99326,0.92133,0.35104,0.21425,0.91384,0.007327,0.007327,0.007327
29,3804.69,0.59201,0.43502,1.0391,0.99505,0.99673,0.99416,0.92455,0.34744,0.21086,0.90575,0.007228,0.007228,0.007228
30,3935.44,0.58594,0.424,1.03332,0.99353,0.99599,0.99413,0.92295,0.3424,0.20686,0.90186,0.007129,0.007129,0.007129
31,4066.26,0.57706,0.42185,1.03307,0.99675,0.99456,0.99369,0.92294,0.34105,0.20647,0.89976,0.00703,0.00703,0.00703
32,4196.99,0.57636,0.41137,1.03101,0.99523,0.99389,0.99368,0.92044,0.34285,0.20224,0.89888,0.006931,0.006931,0.006931
33,4327.68,0.5674,0.40221,1.02771,0.99493,0.99401,0.99299,0.9202,0.34301,0.19821,0.90198,0.006832,0.006832,0.006832
34,4458.46,0.56595,0.40108,1.0278,0.99611,0.99374,0.9925,0.92147,0.3379,0.19868,0.9007,0.006733,0.006733,0.006733
35,4589.29,0.56663,0.39987,1.02639,0.99669,0.99665,0.99404,0.92476,0.33689,0.19471,0.89914,0.006634,0.006634,0.006634
36,4720.21,0.55737,0.39492,1.02245,0.99589,0.99401,0.99288,0.92555,0.33487,0.1963,0.89653,0.006535,0.006535,0.006535
37,4850.99,0.55634,0.397,1.02144,0.99575,0.99486,0.99366,0.9269,0.32751,0.19238,0.89459,0.006436,0.006436,0.006436
38,4981.78,0.55185,0.38808,1.02193,0.99507,0.99104,0.99352,0.92872,0.32835,0.19414,0.89148,0.006337,0.006337,0.006337
39,5112.61,0.55151,0.38431,1.02105,0.99558,0.99762,0.99394,0.92749,0.32833,0.18907,0.8908,0.006238,0.006238,0.006238
40,5243.36,0.54665,0.37705,1.01578,0.9946,0.99643,0.99384,0.93039,0.32237,0.18645,0.88596,0.006139,0.006139,0.006139
41,5374.29,0.54581,0.37793,1.01535,0.99486,0.99465,0.99374,0.9279,0.32279,0.18697,0.88598,0.00604,0.00604,0.00604
42,5505.04,0.544,0.37788,1.0173,0.99685,0.9973,0.99381,0.92694,0.32398,0.1855,0.88665,0.005941,0.005941,0.005941
43,5635.78,0.53778,0.36962,1.01418,0.997,0.99676,0.99396,0.93087,0.32068,0.18384,0.88461,0.005842,0.005842,0.005842
44,5766.91,0.53497,0.36738,1.01371,0.99649,0.99669,0.99406,0.93224,0.31889,0.18115,0.88347,0.005743,0.005743,0.005743
45,5897.41,0.52886,0.3644,1.00774,0.99536,0.99414,0.99358,0.93165,0.31851,0.18238,0.8841,0.005644,0.005644,0.005644
46,6028.15,0.52676,0.36343,1.00865,0.99604,0.99391,0.99349,0.93179,0.32011,0.18268,0.88448,0.005545,0.005545,0.005545
47,6158.8,0.5274,0.36184,1.0092,0.99594,0.99425,0.99346,0.93211,0.31722,0.18229,0.88305,0.005446,0.005446,0.005446
48,6289.56,0.52087,0.35558,1.0047,0.99623,0.99457,0.99374,0.93145,0.31653,0.17966,0.88196,0.005347,0.005347,0.005347
49,6420.3,0.52172,0.35658,1.00659,0.99584,0.99443,0.99368,0.93247,0.3144,0.17761,0.88127,0.005248,0.005248,0.005248
50,6551,0.5169,0.34827,1.00311,0.99594,0.99448,0.99364,0.93287,0.31227,0.17678,0.88021,0.005149,0.005149,0.005149
51,6681.86,0.51717,0.3518,1.00285,0.99604,0.99486,0.9935,0.93288,0.31078,0.17559,0.87987,0.00505,0.00505,0.00505
52,6812.45,0.51472,0.34671,1.00184,0.99592,0.99441,0.99364,0.93338,0.3094,0.17413,0.87897,0.004951,0.004951,0.004951
53,6943.14,0.51499,0.34639,1.00319,0.9959,0.99486,0.9937,0.93409,0.3076,0.1741,0.87805,0.004852,0.004852,0.004852
54,7073.89,0.51166,0.34514,1.0016,0.99616,0.99486,0.99371,0.93392,0.30657,0.17414,0.87746,0.004753,0.004753,0.004753
55,7204.6,0.50975,0.34409,1.00018,0.99597,0.99486,0.99367,0.9334,0.30612,0.1739,0.87653,0.004654,0.004654,0.004654
56,7335.21,0.50101,0.33716,0.99641,0.99662,0.99469,0.99368,0.93358,0.30546,0.17424,0.87614,0.004555,0.004555,0.004555
57,7466.11,0.49791,0.33088,0.99478,0.99614,0.99478,0.99349,0.93263,0.3049,0.17423,0.87527,0.004456,0.004456,0.004456
58,7596.84,0.49891,0.33073,0.99545,0.99675,0.99486,0.9935,0.93226,0.30456,0.17338,0.87475,0.004357,0.004357,0.004357
59,7727.66,0.4993,0.33157,0.99678,0.9938,0.99467,0.99343,0.93466,0.30407,0.17356,0.87416,0.004258,0.004258,0.004258
60,7858.32,0.4915,0.32206,0.99133,0.99388,0.99479,0.99353,0.93441,0.30329,0.17283,0.87334,0.004159,0.004159,0.004159
61,7988.98,0.48903,0.32257,0.9908,0.99368,0.99486,0.99362,0.93425,0.30296,0.17199,0.87312,0.00406,0.00406,0.00406
62,8119.62,0.48875,0.32016,0.99039,0.99368,0.99486,0.99365,0.9343,0.30274,0.17161,0.87285,0.003961,0.003961,0.003961
63,8250.4,0.48689,0.3228,0.99005,0.99366,0.99486,0.99356,0.93493,0.30183,0.17056,0.87237,0.003862,0.003862,0.003862
64,8381.18,0.48647,0.31885,0.98927,0.99368,0.99476,0.99362,0.93494,0.30109,0.1691,0.87179,0.003763,0.003763,0.003763
65,8512.12,0.48267,0.31632,0.98707,0.9935,0.99461,0.99353,0.93563,0.30019,0.16903,0.87115,0.003664,0.003664,0.003664
66,8643.01,0.47816,0.31432,0.98495,0.99339,0.99447,0.99346,0.93535,0.29961,0.16866,0.87049,0.003565,0.003565,0.003565
67,8773.61,0.4817,0.31556,0.98909,0.99623,0.99429,0.99361,0.93475,0.29918,0.16872,0.87014,0.003466,0.003466,0.003466
68,8904.32,0.47547,0.31029,0.98512,0.99644,0.99442,0.99366,0.93477,0.29877,0.16829,0.86971,0.003367,0.003367,0.003367
69,9035.03,0.47336,0.31098,0.98343,0.99632,0.99389,0.99371,0.93602,0.29841,0.16768,0.86948,0.003268,0.003268,0.003268
70,9165.79,0.47163,0.30628,0.98615,0.99637,0.99398,0.99376,0.93612,0.29822,0.1673,0.86937,0.003169,0.003169,0.003169
71,9296.54,0.4674,0.30649,0.98049,0.9963,0.99396,0.99376,0.93678,0.2979,0.16766,0.86904,0.00307,0.00307,0.00307
72,9427.33,0.46922,0.30272,0.9822,0.99607,0.99377,0.99371,0.93637,0.29792,0.16798,0.86901,0.002971,0.002971,0.002971
73,9558.09,0.45952,0.29843,0.97589,0.99558,0.99364,0.99369,0.93703,0.29789,0.16735,0.86895,0.002872,0.002872,0.002872
74,9688.93,0.46082,0.29763,0.97649,0.99366,0.99442,0.99361,0.9371,0.29777,0.16742,0.869,0.002773,0.002773,0.002773
75,9819.54,0.46209,0.29811,0.97914,0.99115,0.99439,0.99343,0.93728,0.29743,0.16714,0.86877,0.002674,0.002674,0.002674
76,9950.38,0.4616,0.29652,0.9806,0.99129,0.99439,0.99337,0.93719,0.29726,0.16708,0.86866,0.002575,0.002575,0.002575
77,10081.1,0.45725,0.29303,0.97636,0.99138,0.99409,0.99339,0.93734,0.29697,0.16691,0.86846,0.002476,0.002476,0.002476
78,10211.6,0.45739,0.29759,0.97755,0.99143,0.99415,0.99342,0.93732,0.29662,0.16663,0.86829,0.002377,0.002377,0.002377
79,10342.3,0.45192,0.29204,0.97406,0.99136,0.99438,0.99342,0.93781,0.29624,0.1662,0.86814,0.002278,0.002278,0.002278
80,10473.2,0.45215,0.28875,0.97224,0.99107,0.99437,0.99343,0.93805,0.29597,0.16585,0.86794,0.002179,0.002179,0.002179
81,10604.1,0.44822,0.28398,0.97293,0.99078,0.99437,0.99341,0.938,0.29579,0.16624,0.86782,0.00208,0.00208,0.00208
82,10734.9,0.44715,0.28526,0.97076,0.99063,0.99437,0.99337,0.93749,0.29567,0.16603,0.86778,0.001981,0.001981,0.001981
83,10865.7,0.44237,0.28194,0.97061,0.98986,0.99439,0.99334,0.93771,0.29553,0.16583,0.8677,0.001882,0.001882,0.001882
84,10996.8,0.44423,0.27974,0.97007,0.98984,0.99438,0.99333,0.93776,0.2954,0.16589,0.86765,0.001783,0.001783,0.001783
85,11127.5,0.43814,0.27961,0.96978,0.99055,0.99438,0.99333,0.93759,0.29534,0.16563,0.86764,0.001684,0.001684,0.001684
86,11258.4,0.43767,0.27655,0.96804,0.9914,0.99322,0.99334,0.93743,0.29521,0.16589,0.86752,0.001585,0.001585,0.001585
87,11389.4,0.43755,0.27719,0.96878,0.99136,0.99376,0.99333,0.93699,0.29518,0.16546,0.86756,0.001486,0.001486,0.001486
88,11520.2,0.43755,0.27511,0.96956,0.9907,0.99438,0.99332,0.93716,0.29487,0.16542,0.86729,0.001387,0.001387,0.001387
89,11651.1,0.44028,0.27805,0.96963,0.99088,0.99437,0.9933,0.93778,0.29466,0.16603,0.86709,0.001288,0.001288,0.001288
90,11781.9,0.42944,0.27167,0.96483,0.9906,0.99437,0.9933,0.93807,0.29456,0.16593,0.86707,0.001189,0.001189,0.001189
91,11916.3,0.2728,0.17177,0.86522,0.99046,0.99437,0.99332,0.93804,0.29449,0.16542,0.86704,0.00109,0.00109,0.00109
92,12049.5,0.26422,0.16318,0.85727,0.99078,0.99437,0.99332,0.93804,0.29425,0.16484,0.8668,0.000991,0.000991,0.000991
93,12182.7,0.26176,0.16041,0.8572,0.99067,0.99438,0.99332,0.93741,0.2939,0.16419,0.86655,0.000892,0.000892,0.000892
94,12315.7,0.2595,0.15932,0.85614,0.99038,0.99438,0.99331,0.93766,0.29347,0.16371,0.86613,0.000793,0.000793,0.000793
95,12449,0.25642,0.156,0.85761,0.99062,0.99437,0.9933,0.93759,0.29316,0.16367,0.86587,0.000694,0.000694,0.000694
96,12581.8,0.25072,0.15319,0.85421,0.9913,0.99419,0.9933,0.93743,0.29273,0.16367,0.86557,0.000595,0.000595,0.000595
97,12715,0.24905,0.15232,0.85093,0.99132,0.99379,0.99332,0.9376,0.29245,0.16307,0.86542,0.000496,0.000496,0.000496
98,12848,0.25044,0.15285,0.85193,0.99137,0.99357,0.9933,0.93785,0.29217,0.16302,0.86526,0.000397,0.000397,0.000397
99,12981.1,0.24561,0.14865,0.84922,0.99139,0.99354,0.99328,0.93791,0.2919,0.16274,0.86505,0.000298,0.000298,0.000298
100,13114.9,0.24504,0.14754,0.84794,0.9914,0.99337,0.99326,0.93815,0.29154,0.16268,0.86479,0.000199,0.000199,0.000199
