epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,138.434,0.8897,1.40968,1.23197,0.75602,0.88279,0.89554,0.71123,0.67702,0.84559,1.19104,0.000332972,0.000332972,0.0670358
2,270.945,0.82617,0.89633,1.18283,0.8782,0.81095,0.9099,0.74856,0.62842,0.65262,1.14062,0.000659709,0.000659709,0.0340292
3,403.159,0.79392,0.78613,1.15822,0.92626,0.93495,0.97321,0.83338,0.54604,0.45543,1.0619,0.000979846,0.000979846,0.001016
4,535.428,0.75691,0.70899,1.14095,0.9203,0.95607,0.96319,0.83391,0.52428,0.40859,1.04369,0.0009703,0.0009703,0.0009703
5,667.455,0.71462,0.64042,1.11724,0.96591,0.96845,0.99019,0.86655,0.50362,0.35261,1.02459,0.0009604,0.0009604,0.0009604
6,799.556,0.69237,0.5987,1.10128,0.97967,0.97655,0.99058,0.88633,0.45055,0.32818,0.98632,0.0009505,0.0009505,0.0009505
7,931.613,0.67347,0.56137,1.09032,0.98383,0.98803,0.99346,0.89496,0.42687,0.28877,0.96635,0.0009406,0.0009406,0.0009406
8,1063.66,0.66342,0.54222,1.08583,0.98777,0.99184,0.99322,0.89412,0.42159,0.28191,0.95682,0.0009307,0.0009307,0.0009307
9,1195.49,0.65537,0.52309,1.08148,0.98417,0.98953,0.99163,0.89518,0.41326,0.27847,0.95647,0.0009208,0.0009208,0.0009208
10,1327.37,0.63284,0.50157,1.06843,0.99335,0.99536,0.99411,0.90136,0.40398,0.26269,0.94742,0.0009109,0.0009109,0.0009109
11,1459.18,0.62578,0.48373,1.06288,0.9893,0.99052,0.99349,0.90672,0.39797,0.25731,0.94144,0.000901,0.000901,0.000901
12,1591.31,0.61137,0.47001,1.05416,0.99565,0.99307,0.99411,0.9094,0.37984,0.25075,0.92914,0.0008911,0.0008911,0.0008911
13,1723.33,0.60514,0.46368,1.05333,0.96804,0.98279,0.99214,0.90618,0.38788,0.25683,0.93723,0.0008812,0.0008812,0.0008812
14,1855.47,0.59728,0.45124,1.04637,0.9919,0.99335,0.99403,0.91562,0.37989,0.2371,0.93256,0.0008713,0.0008713,0.0008713
15,1987.33,0.59037,0.43525,1.04678,0.99218,0.98764,0.99308,0.91435,0.36818,0.2353,0.924,0.0008614,0.0008614,0.0008614
16,2119.52,0.58565,0.43563,1.04029,0.99559,0.99454,0.99402,0.92264,0.35612,0.22316,0.91165,0.0008515,0.0008515,0.0008515
17,2251.73,0.579,0.42632,1.03719,0.99277,0.98696,0.99326,0.92261,0.35553,0.22452,0.91191,0.0008416,0.0008416,0.0008416
18,2383.93,0.57517,0.41731,1.03595,0.98901,0.99402,0.99396,0.91817,0.36181,0.22284,0.91734,0.0008317,0.0008317,0.0008317
19,2515.93,0.56763,0.40987,1.03482,0.99657,0.99784,0.99399,0.92399,0.34982,0.21175,0.91191,0.0008218,0.0008218,0.0008218
20,2648.06,0.56005,0.40015,1.02836,0.99431,0.99725,0.994,0.92805,0.34958,0.21332,0.90937,0.0008119,0.0008119,0.0008119
21,2780.35,0.56004,0.40051,1.03117,0.99558,0.99273,0.99381,0.92519,0.3381,0.20558,0.90004,0.000802,0.000802,0.000802
22,2912.11,0.55708,0.39567,1.02627,0.9967,0.99784,0.99398,0.92964,0.33741,0.20113,0.8968,0.0007921,0.0007921,0.0007921
23,3044.05,0.54917,0.38751,1.02353,0.99506,0.99485,0.99391,0.92926,0.3362,0.19902,0.89927,0.0007822,0.0007822,0.0007822
24,3175.88,0.54707,0.38264,1.02101,0.99613,0.99209,0.99366,0.93046,0.33279,0.19932,0.9027,0.0007723,0.0007723,0.0007723
25,3307.87,0.54196,0.37842,1.02027,0.99653,0.99574,0.99392,0.93004,0.32591,0.19414,0.89111,0.0007624,0.0007624,0.0007624
26,3439.8,0.53667,0.37088,1.01603,0.99507,0.9971,0.99367,0.93194,0.32319,0.19424,0.88866,0.0007525,0.0007525,0.0007525
27,3571.79,0.53558,0.37372,1.01744,0.9945,0.99671,0.99362,0.92673,0.32127,0.19001,0.88369,0.0007426,0.0007426,0.0007426
28,3703.62,0.53109,0.36913,1.01091,0.99526,0.9939,0.99346,0.93247,0.31645,0.18663,0.88347,0.0007327,0.0007327,0.0007327
29,3835.5,0.52309,0.36602,1.00911,0.99437,0.99403,0.9937,0.93339,0.31218,0.18404,0.88004,0.0007228,0.0007228,0.0007228
30,3967.39,0.52162,0.35655,1.00664,0.99395,0.99292,0.99332,0.93375,0.31832,0.18821,0.88633,0.0007129,0.0007129,0.0007129
31,4099.13,0.51862,0.35945,1.00916,0.99628,0.99661,0.99375,0.93532,0.31477,0.18682,0.88391,0.000703,0.000703,0.000703
32,4230.95,0.5127,0.34796,1.00422,0.99502,0.99322,0.99382,0.93642,0.31205,0.18121,0.88008,0.0006931,0.0006931,0.0006931
33,4362.77,0.51003,0.34558,1.00388,0.99684,0.99768,0.99389,0.93535,0.31053,0.17774,0.87943,0.0006832,0.0006832,0.0006832
34,4494.79,0.5062,0.34478,1.00128,0.99653,0.99717,0.99399,0.93645,0.30834,0.1748,0.8763,0.0006733,0.0006733,0.0006733
35,4626.68,0.50834,0.34253,1.00175,0.99692,0.99673,0.99405,0.93593,0.30777,0.17574,0.87755,0.0006634,0.0006634,0.0006634
36,4758.7,0.50145,0.33719,1.00072,0.99413,0.99376,0.99333,0.9356,0.30878,0.17881,0.87894,0.0006535,0.0006535,0.0006535
37,4890.77,0.50702,0.33995,1.00124,0.99812,0.99715,0.99388,0.93829,0.30407,0.17462,0.87591,0.0006436,0.0006436,0.0006436
38,5022.8,0.49894,0.33315,0.99941,0.99679,0.99698,0.99396,0.93633,0.29855,0.17133,0.86999,0.0006337,0.0006337,0.0006337
39,5154.76,0.496,0.33201,0.99813,0.99692,0.99354,0.99384,0.93662,0.2997,0.17177,0.86993,0.0006238,0.0006238,0.0006238
40,5286.5,0.49477,0.32814,0.99703,0.9942,0.99652,0.99393,0.93767,0.29863,0.17216,0.86668,0.0006139,0.0006139,0.0006139
41,5418.43,0.4941,0.32504,0.99493,0.99555,0.99394,0.99378,0.9388,0.29724,0.16954,0.8667,0.000604,0.000604,0.000604
42,5550.48,0.49002,0.32285,0.99485,0.99671,0.99354,0.99362,0.93887,0.29788,0.17044,0.868,0.0005941,0.0005941,0.0005941
43,5682.41,0.48577,0.31883,0.99425,0.99628,0.99601,0.994,0.94074,0.29535,0.16702,0.86603,0.0005842,0.0005842,0.0005842
44,5814.59,0.4816,0.31866,0.99052,0.99505,0.99679,0.99393,0.94254,0.29441,0.16646,0.86567,0.0005743,0.0005743,0.0005743
45,5946.3,0.47894,0.3176,0.98832,0.997,0.99681,0.99402,0.94064,0.29207,0.16446,0.86401,0.0005644,0.0005644,0.0005644
46,6078.1,0.47923,0.31516,0.99015,0.99321,0.9968,0.99401,0.94107,0.2925,0.16392,0.86425,0.0005545,0.0005545,0.0005545
47,6209.98,0.47945,0.31165,0.98915,0.99529,0.99413,0.99384,0.94043,0.28965,0.16441,0.8625,0.0005446,0.0005446,0.0005446
48,6341.92,0.47312,0.30769,0.98638,0.99483,0.99387,0.99336,0.93891,0.28981,0.16335,0.86209,0.0005347,0.0005347,0.0005347
49,6473.83,0.47301,0.31015,0.9864,0.99433,0.99696,0.99364,0.9381,0.28963,0.16219,0.86209,0.0005248,0.0005248,0.0005248
50,6605.8,0.4704,0.3063,0.98397,0.99453,0.99685,0.99386,0.93731,0.28861,0.16062,0.86336,0.0005149,0.0005149,0.0005149
51,6737.87,0.46727,0.3044,0.98164,0.99423,0.99674,0.99391,0.93878,0.28993,0.16094,0.86442,0.000505,0.000505,0.000505
52,6869.65,0.4653,0.29987,0.9829,0.9969,0.9941,0.99385,0.93719,0.28959,0.16069,0.8639,0.0004951,0.0004951,0.0004951
53,7001.33,0.46294,0.29976,0.98165,0.99196,0.99622,0.99368,0.93936,0.28895,0.15903,0.86353,0.0004852,0.0004852,0.0004852
54,7133.25,0.46314,0.29805,0.98158,0.99359,0.9931,0.99375,0.94014,0.28773,0.15856,0.86281,0.0004753,0.0004753,0.0004753
55,7265.27,0.46108,0.29976,0.98187,0.99171,0.99661,0.99381,0.93923,0.28746,0.15859,0.86216,0.0004654,0.0004654,0.0004654
56,7397.14,0.45496,0.29404,0.97756,0.99298,0.99695,0.99388,0.94053,0.28726,0.15649,0.86147,0.0004555,0.0004555,0.0004555
57,7528.97,0.4516,0.28985,0.97698,0.99575,0.99694,0.99403,0.94016,0.28746,0.15636,0.86162,0.0004456,0.0004456,0.0004456
58,7660.93,0.44961,0.28856,0.97642,0.99349,0.99698,0.99399,0.93927,0.28632,0.15633,0.86058,0.0004357,0.0004357,0.0004357
59,7792.91,0.44796,0.28882,0.97616,0.9935,0.99706,0.99396,0.94051,0.28571,0.15627,0.86015,0.0004258,0.0004258,0.0004258
60,7924.7,0.44557,0.28299,0.97354,0.99387,0.99702,0.99391,0.93956,0.28538,0.15512,0.86001,0.0004159,0.0004159,0.0004159
61,8056.8,0.4417,0.27948,0.97121,0.99608,0.99712,0.99411,0.93944,0.28592,0.15449,0.86021,0.000406,0.000406,0.000406
