epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,138.855,0.87154,2.99772,1.26545,0.49908,0.63937,0.58354,0.49932,0.51038,1.90809,1.03949,0.000332972,0.000332972,0.0670358
2,271.258,0.76557,1.57145,1.15492,0.86357,0.90003,0.91822,0.81028,0.44024,0.78889,0.97628,0.000659709,0.000659709,0.0340292
3,403.426,0.6923,0.99968,1.1026,0.91169,0.9553,0.97324,0.86593,0.43246,0.61274,0.97281,0.000979846,0.000979846,0.001016
4,535.154,0.66485,0.8192,1.08804,0.97312,0.98684,0.9919,0.88975,0.42255,0.51664,0.96412,0.0009703,0.0009703,0.0009703
5,667.028,0.63198,0.71481,1.06909,0.99061,0.9921,0.99378,0.90675,0.39487,0.45806,0.93876,0.0009604,0.0009604,0.0009604
6,798.993,0.61403,0.65231,1.05686,0.98062,0.98897,0.99021,0.90551,0.37803,0.43471,0.92291,0.0009505,0.0009505,0.0009505
7,930.808,0.60196,0.61073,1.04752,0.99025,0.99466,0.9927,0.91255,0.37807,0.4099,0.92684,0.0009406,0.0009406,0.0009406
8,1062.91,0.59511,0.58788,1.04618,0.99159,0.99459,0.99235,0.91235,0.36725,0.37231,0.91379,0.0009307,0.0009307,0.0009307
9,1194.82,0.58368,0.56142,1.04029,0.99647,0.99555,0.99379,0.91384,0.36716,0.36559,0.91961,0.0009208,0.0009208,0.0009208
10,1326.41,0.57478,0.53647,1.0339,0.99729,0.99621,0.99371,0.91737,0.35017,0.34676,0.9021,0.0009109,0.0009109,0.0009109
11,1458.09,0.5647,0.51833,1.02873,0.996,0.99581,0.99373,0.92029,0.35075,0.33374,0.90313,0.000901,0.000901,0.000901
12,1590.04,0.55749,0.50251,1.02377,0.9951,0.9916,0.99397,0.92204,0.34574,0.32657,0.90187,0.0008911,0.0008911,0.0008911
13,1721.83,0.55349,0.49285,1.0236,0.99521,0.99698,0.99393,0.92369,0.33695,0.31735,0.89628,0.0008812,0.0008812,0.0008812
14,1853.62,0.54856,0.47742,1.01865,0.99761,0.99774,0.99377,0.92173,0.34382,0.31392,0.90027,0.0008713,0.0008713,0.0008713
15,1985.41,0.54362,0.46771,1.02049,0.9936,0.99784,0.99395,0.91808,0.34641,0.29952,0.90319,0.0008614,0.0008614,0.0008614
16,2117.13,0.53825,0.45946,1.01523,0.99542,0.99752,0.99403,0.91943,0.33684,0.29794,0.89936,0.0008515,0.0008515,0.0008515
17,2248.97,0.53119,0.45256,1.01053,0.99759,0.99784,0.99406,0.92508,0.33267,0.28626,0.89102,0.0008416,0.0008416,0.0008416
18,2380.95,0.52872,0.43881,1.01077,0.99696,0.99705,0.99386,0.92478,0.33251,0.28207,0.89388,0.0008317,0.0008317,0.0008317
19,2512.61,0.52238,0.43193,1.00877,0.99698,0.99783,0.99394,0.92723,0.32742,0.2757,0.89074,0.0008218,0.0008218,0.0008218
20,2644.46,0.52115,0.42539,1.00563,0.99747,0.99737,0.99403,0.92873,0.32245,0.26773,0.88545,0.0008119,0.0008119,0.0008119
21,2776.24,0.52309,0.42579,1.00806,0.9968,0.99784,0.99396,0.92885,0.32187,0.26466,0.88549,0.000802,0.000802,0.000802
22,2908.1,0.51618,0.41622,1.00356,0.997,0.99761,0.99434,0.92859,0.32069,0.26161,0.88435,0.0007921,0.0007921,0.0007921
23,3039.9,0.51181,0.40835,1.00161,0.99493,0.99749,0.99403,0.92988,0.31728,0.25364,0.8843,0.0007822,0.0007822,0.0007822
24,3171.74,0.5107,0.40242,0.99973,0.99665,0.99784,0.9937,0.92695,0.31659,0.24886,0.87848,0.0007723,0.0007723,0.0007723
25,3303.45,0.50687,0.39924,0.99979,0.99637,0.99784,0.99372,0.9319,0.31563,0.24712,0.88182,0.0007624,0.0007624,0.0007624
26,3435.41,0.50226,0.39289,0.99671,0.99624,0.99773,0.99379,0.92809,0.31598,0.24312,0.88292,0.0007525,0.0007525,0.0007525
27,3567.23,0.50031,0.39096,0.99618,0.99535,0.99757,0.9939,0.93363,0.30866,0.24107,0.87368,0.0007426,0.0007426,0.0007426
28,3698.9,0.49982,0.38598,0.99543,0.99782,0.99781,0.99386,0.9354,0.30426,0.23688,0.87217,0.0007327,0.0007327,0.0007327
29,3830.73,0.49735,0.38573,0.99292,0.99766,0.99784,0.99373,0.93614,0.30588,0.23265,0.87208,0.0007228,0.0007228,0.0007228
30,3962.71,0.49319,0.37277,0.99058,0.99698,0.99729,0.994,0.93615,0.30368,0.23309,0.87135,0.0007129,0.0007129,0.0007129
31,4094.63,0.49009,0.37761,0.9924,0.99783,0.99751,0.99382,0.93105,0.30483,0.22801,0.87555,0.000703,0.000703,0.000703
32,4226.21,0.49021,0.37191,0.99185,0.99781,0.99784,0.99372,0.93155,0.3011,0.2221,0.87138,0.0006931,0.0006931,0.0006931
33,4358.11,0.48393,0.36407,0.9886,0.99635,0.99784,0.99395,0.93554,0.30141,0.22163,0.86871,0.0006832,0.0006832,0.0006832
34,4489.82,0.48123,0.36385,0.98708,0.99795,0.99753,0.99379,0.93334,0.30105,0.22085,0.8696,0.0006733,0.0006733,0.0006733
35,4621.76,0.48206,0.36119,0.98674,0.99731,0.99784,0.99377,0.93467,0.29622,0.21705,0.86589,0.0006634,0.0006634,0.0006634
36,4753.93,0.47958,0.35459,0.98642,0.99744,0.99775,0.99385,0.93582,0.29782,0.21751,0.8656,0.0006535,0.0006535,0.0006535
37,4885.95,0.47799,0.35879,0.98413,0.99756,0.99719,0.99385,0.93728,0.29477,0.2152,0.86581,0.0006436,0.0006436,0.0006436
38,5017.84,0.47184,0.34947,0.98394,0.99678,0.99784,0.99382,0.93781,0.29365,0.21081,0.86395,0.0006337,0.0006337,0.0006337
39,5149.68,0.47285,0.34983,0.98374,0.99745,0.99784,0.99384,0.93585,0.29613,0.21078,0.86405,0.0006238,0.0006238,0.0006238
40,5281.42,0.4698,0.34433,0.9805,0.99773,0.99386,0.99375,0.93639,0.29366,0.21029,0.86229,0.0006139,0.0006139,0.0006139
41,5413.26,0.47174,0.34788,0.98246,0.99301,0.99484,0.99302,0.93561,0.29215,0.20845,0.86169,0.000604,0.000604,0.000604
42,5545.04,0.46794,0.34189,0.98125,0.99593,0.99348,0.99371,0.93714,0.29262,0.20806,0.86318,0.0005941,0.0005941,0.0005941
43,5676.84,0.46423,0.33756,0.98184,0.99726,0.99687,0.99401,0.93766,0.29054,0.20562,0.86119,0.0005842,0.0005842,0.0005842
44,5808.45,0.46407,0.3392,0.97946,0.99717,0.99667,0.99375,0.93866,0.29006,0.20297,0.8611,0.0005743,0.0005743,0.0005743
45,5940.07,0.45877,0.33616,0.97539,0.99772,0.99724,0.99407,0.9398,0.29061,0.20276,0.8614,0.0005644,0.0005644,0.0005644
46,6071.77,0.45969,0.33182,0.97688,0.99666,0.99759,0.99416,0.94086,0.28939,0.20179,0.86132,0.0005545,0.0005545,0.0005545
